191	BEY	3	4.8e-05	12
192	BIB	3	3.6e-05	11
193	BID	3	7.2e-05	9
194	BIG	3	5.4e-05	9
195	BIN	3	0.000108	7
196	BIO	3	0.000144	7
197	BIS	3	7.2e-05	7
198	BIT	3	0.000108	7
199	BIZ	3	1.8e-05	22
200	BOA	3	0.000144	7
201	BOB	3	3.2e-05	11
202	BOD	3	6.4e-05	9
203	BOG	3	4.8e-05	9
204	BOO	3	0.000128	7
205	BOP	3	3.2e-05	11
206	BOS	3	6.4e-05	7
207	BOT	3	9.6e-05	7
208	BOW	3	3.2e-05	12
209	BOX	3	1.6e-05	18
210	BOY	3	3.2e-05	12
211	BRA	3	0.000108	7
212	BRO	3	9.6e-05	7
213	BRR	3	7.2e-05	7
214	BUB	3	1.6e-05	11
215	BUD	3	3.2e-05	9
216	BUG	3	2.4e-05	9
217	BUM	3	1.6e-05	11
218	BUN	3	4.8e-05	7
219	BUR	3	4.8e-05	7
220	BUS	3	3.2e-05	7
221	BUT	3	4.8e-05	7
222	BUY	3	1.6e-05	12
223	BYE	3	4.8e-05	12
224	BYS	3	1.6e-05	12
225	CAB	3	3.6e-05	11
226	CAD	3	7.2e-05	9
227	CAM	3	3.6e-05	11
228	CAN	3	0.000108	7
229	CAP	3	3.6e-05	11
230	CAR	3	0.000108	7
231	CAT	3	0.000108	7
232	CAW	3	3.6e-05	12
233	CAY	3	3.6e-05	12
234	CEE	3	0.000288	7
235	CEL	3	9.6e-05	7
236	CEP	3	4.8e-05	11
237	CHI	3	3.6e-05	12
238	CIS	3	7.2e-05	7
239	COB	3	3.2e-05	11
240	COD	3	6.4e-05	9
241	COG	3	4.8e-05	9
242	COL	3	6.4e-05	7
243	CON	3	9.6e-05	7
244	COO	3	0.000128	7
245	COP	3	3.2e-05	11
246	COR	3	9.6e-05	7
247	COS	3	6.4e-05	7
248	COT	3	9.6e-05	7
249	COW	3	3.2e-05	12
250	COX	3	1.6e-05	18
251	COY	3	3.2e-05	12
252	COZ	3	1.6e-05	22
253	CRY	3	2.4e-05	12
254	CUB	3	1.6e-05	11
255	CUD	3	3.2e-05	9
256	CUE	3	9.6e-05	7
257	CUM	3	1.6e-05	11
258	CUP	3	1.6e-05	11
259	CUR	3	4.8e-05	7
260	CUT	3	4.8e-05	7
261	CWM	3	8e-06	15
262	DAB	3	7.2e-05	9
263	DAD	3	0.000144	7
264	DAG	3	0.000108	7
265	DAH	3	7.2e-05	11
266	DAK	3	3.6e-05	12
267	DAL	3	0.000144	6
268	DAM	3	7.2e-05	9
269	DAP	3	7.2e-05	9
270	DAW	3	7.2e-05	11
271	DAY	3	7.2e-05	11
272	DEB	3	9.6e-05	9
273	DEE	3	0.000576	6
274	DEL	3	0.000192	6
275	DEN	3	0.000288	6
276	DEV	3	9.6e-05	11
277	DEW	3	9.6e-05	11
278	DEX	3	4.8e-05	17
279	DEY	3	9.6e-05	11
280	DIB	3	7.2e-05	9
281	DID	3	0.000144	7
282	DIE	3	0.000432	6
283	DIG	3	0.000108	7
284	DIM	3	7.2e-05	9
285	DIN	3	0.000216	6
286	DIP	3	7.2e-05	9
287	DIS	3	0.000144	6
288	DIT	3	0.000216	6
289	DOC	3	6.4e-05	9
290	DOE	3	0.000384	6
291	DOG	3	9.6e-05	7
292	DOL	3	0.000128	6
293	DOM	3	6.4e-05	9
294	DON	3	0.000192	6
295	DOR	3	0.000192	6
296	DOS	3	0.000128	6
297	DOT	3	0.000192	6
298	DOW	3	6.4e-05	11
299	DRY	3	4.8e-05	11
300	DUB	3	3.2e-05	9
301	DUD	3	6.4e-05	7
302	DUE	3	0.000192	6
303	DUG	3	4.8e-05	7
304	DUI	3	0.000144	6
305	DUN	3	9.6e-05	6
306	DUO	3	0.000128	6
307	DUP	3	3.2e-05	9
308	DYE	3	9.6e-05	11
309	EAR	3	0.000648	4
310	EAT	3	0.000648	4
311	EAU	3	0.000432	4
312	EBB	3	4.8e-05	11
313	ECU	3	9.6e-05	7
314	EDH	3	9.6e-05	11
315	EEL	3	0.000576	4
316	EFF	3	4.8e-05	14
317	EFS	3	9.6e-05	9
318	EFT	3	0.000144	9
319	EGG	3	0.000108	7
320	EGO	3	0.000288	6
321	EKE	3	0.000144	11
322	ELD	3	0.000192	6
323	ELF	3	9.6e-05	9
324	ELK	3	4.8e-05	11
325	ELL	3	0.000192	4
